"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"magrittr","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","2.0.3",NA,NA,NA,NA
"map","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.0.5","map","PredictiveEcology","development","3bdbf62d2027d509cfee6d301fa444204786c207"
"MatrixModels","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.5-1",NA,NA,NA,NA
"mclust","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","6.0.0",NA,NA,NA,NA
"memoise","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","2.0.1",NA,NA,NA,NA
"merTools","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.5.2",NA,NA,NA,NA
"mime","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.12",NA,NA,NA,NA
"minqa","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.2.5",NA,NA,NA,NA
"misc3d","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.9-1",NA,NA,NA,NA
"multcomp","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.4-20",NA,NA,NA,NA
"multicool","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.1-12",NA,NA,NA,NA
"MuMIn","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.47.1",NA,NA,NA,NA
"munsell","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.5.0",NA,NA,NA,NA
"mvtnorm","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.1-3",NA,NA,NA,NA
"nabor","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.5.0",NA,NA,NA,NA
"nloptr","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","2.0.3",NA,NA,NA,NA
"nngeo","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.4.6",NA,NA,NA,NA
"nortest","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.0-4",NA,NA,NA,NA
"numDeriv","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","2016.8-1.1",NA,NA,NA,NA
"openssl","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","2.0.6",NA,NA,NA,NA
"parallelly","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.34.0",NA,NA,NA,NA
"pbkrtest","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.5.2",NA,NA,NA,NA
"pemisc","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.0.4.9009","pemisc","PredictiveEcology","development","788ed1bf07b466fa9ca50427ea4cda0f1900a624"
"peutils","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.1.0","peutils","PredictiveEcology","development","d40d97c594c01014101c1edacd48bcace89dcb97"
"pillar","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.8.1",NA,NA,NA,NA
"pkgconfig","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","2.0.3",NA,NA,NA,NA
"pkgload","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.3.2",NA,NA,NA,NA
"plogr","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.2.0",NA,NA,NA,NA
"plot3D","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.4",NA,NA,NA,NA
"plyr","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.8.8",NA,NA,NA,NA
"png","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.1-8",NA,NA,NA,NA
"polspline","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.1.22",NA,NA,NA,NA
"polyclip","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.10-4",NA,NA,NA,NA
